"mid","title","date_from_numeric","date_from","date_to_numeric","date_to","tag","description","location","add_date","modified_date","status","note","extra","uid"
"96","1821Fourier","1821","1821","1821","1821","Ogive curve","&lt;p&gt;Ogive or cumulative frequency curve, inhabitants of Paris by age groupings (shows the number of inhabitants of Paris per 10,000 in 1817 who were of a given age or over. The name &quot;ogive&#039;&#039; is due to Galton.)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"97","1822Babbage","1822","1822","1822","1822","Mechanical calculating device","&lt;p&gt;Mechanical device for calculating mathematical tables (the Difference Engine) [The beginnings of computing as we know it today. The Difference Engine was steam-powered, and the size of a locomotive.]&lt;/p&gt;","England, UK","2001-07-02","2008-07-17","published",,,"1"
"98","1825Gompertz","1825","1825","1825","1825","Gompertz curve","&lt;p&gt;Gompertz curve, derived to describe expected mortality statistics for a population of organisms whose probability of death increases as a function of time&lt;/p&gt;","England, UK","2007-02-01","2009-10-13","published","Gompertz showed that the mortality rate increases in a geometric progression. Hence, when death rates are plotted on a logarithmic scale, a straight line known as the Gompertz function is obtained. The slope of the Gompertz function line indicates the rate of actuarial ageing. The differences in longevity between species are the result primarily of differences in the rate of ageing and are therefore expressed in differences in slope of the Gompertz function.",,"7"
"99","1826Dupin","1826","1826","1826","1826","Choropleth map","&lt;p&gt;Choropleth map with shadings from black to white (distribution and intensity of illiteracy in France), the first (unclassed) choropleth map, and perhaps the first modern statistical map&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"100","1827Niepce","1827","1827","1827","1827","1st photograph","&lt;p&gt;First successful photograph produced (an 8-hour exposure). [A type of asphalt (bitumen of Judea) was coated on metal plates. After exposure it was washed in solvents, the light areas were shown by the bitumen, dark areas by bare metal. Exposed to iodine, the plate darkened in the shadowed areas.]&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"101","1828Quetelet","1828","1828","1828","1828","Mortality curves","&lt;p&gt;Mortality curves drawn from empirical data (for Belgium and France)&lt;/p&gt;","Belgium","2008-07-17","2008-07-17","published",,,"1"
"102","1829Guerry","1829","1829","1829","1829","Polar-area charts","&lt;p&gt;Polar-area charts (predating those by Florence Nightingale cite{Nightingale:1857}), showing frequency of events for cyclic phenomena&lt;/p&gt;","France","2008-07-17","2012-06-05","published","The plate shows six polar diagrams for daily phenomena: direction of the wind in 8 sectors, births and deaths by hour of theday.",,"10"
"103","1829aGuerry","1829","1829","1829","1829","Comparative choropleth map","&lt;p&gt;The first comparative choropleth thematic maps, showing crimes against persons and crimes against property in relation to level of instruction by departments in France&lt;/p&gt;","France","2008-07-17","2012-08-16","published",,,"10"
"104","1830Faraday","1830","1830","1835","1835","Natural phenomena","&lt;p&gt;Graphical analysis of natural phenomena begins to appear on a regular basis in scientific publications, particularly in England. For example, in 1832, Faraday proposes pictorial representation of electric and magnetic lines of force.&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"105","1830Montizon","1830","1830","1830","1830","1st dot map of population","&lt;p&gt;First simple dot map of population by department, 1 dot = 10,000 people&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"106","1832Herschel","1832","1832","1832","1832","Curve-fitting","&lt;p&gt;Fitting a smoothed curve to a scatterplot, advocacy of graph paper and graphical methods as standard tools of science. [&quot;The process by which I propose to accomplish this is one essentially graphical; by which term I understand not a mere substitution of geometrical construction and measurement for numerical calculation, but one which has for its object to perform that which no system of calculation can possibly do, by bringing in the aid of the eye and hand to guide the judgment, in a case where judgment only, and not calculation, can be of any avail.&#039;&#039; (p. 178)]&lt;/p&gt;","England, UK","2008-07-17","2010-02-24","published","See for some history of &quot;squared paper.&#039;&#039;",,"7"
"107","1833Guerry","1833","1833","1833","1833","Moral statistics","&lt;p&gt;The first comprehensive analysis of data on &quot;moral statistics&#039;&#039; (crimes, suicide, literacy, etc.) shown on thematic unclassed choropleth maps; bar charts (of crime, by age groupings and months)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"108","1833aGuerry","1833","1833","1833","1833","Graphical rank lists","&lt;p&gt;Graphical rank lists, with lines showing shifts in rank order between categories (rank of types of crime from one age group to the next)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"109","1833Scrope","1833","1833","1833","1833","Population density","&lt;p&gt;First classed depiction of population density on a world map (using three broad classes in a dasymetric map)&lt;/p&gt;","England, UK","2007-02-01","2008-07-17","published",,,"1"
"110","1833Wheatstone","1833","1833","1833","1833","Stereoscope","&lt;p&gt;Invention of the stereoscope, revealing the dependence of visual depth perception upon binocular vision, and allowing production of stereoscopic images&lt;/p&gt;","England, UK","2007-02-01","2008-07-17","published","In 1857, Wheatstone also introduced the first application of paper tapes as a medium for the preparation, storage, and transmission of data.",,"3"
"111","1836Angeville","1836","1836","1836","1836","Industry and population","&lt;p&gt;First broad and general application of principles of graphic representation to national industrial and population data&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"112","1836Parent-Duchatelet","1836","1836","1836","1836","Mapping prostitutes in Paris","&lt;p&gt;Extensive data tabulation, time series, and mapping of prostitutes in Paris&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"113","1837Harness","1837","1837","1837","1837","1st flow map","&lt;p&gt;First published flow maps, showing transportation by means of shaded lines, widths proportional to amount (passengers)&lt;/p&gt;","Ireland","2008-07-17","2008-07-17","published",,,"1"
"114","1838Berghaus","1838","1838","1838","1838","Physical atlas","&lt;p&gt;Physical atlas of the distribution of plants, animals, climate, etc., one of the most extensive and detailed thematic atlases; most of the maps contained tables, graphs, pictorial profiles of distributions over altitude, and other visual accompanyments&lt;/p&gt;","Germany","2007-02-01","2009-03-30","published",,,"6"
"115","1839Verhulst","1839","1839","1839","1839","Logistic curve","&lt;p&gt;Development of the logistic curve, $ y = k / (1 + C e^{rt})$, to describe the growth of human populations&lt;/p&gt;","Belgium","2007-02-01","2008-07-17","published","Verhulst showed that forces which tend to prevent a population growth grow in proportion to the ratio of the excess population to the total population.  (reference from Funkhouser:1937, p.363 fn(46)",,"3"
"116","1839Daguerre","1839","1839","1839","1839","Photographic process","&lt;p&gt;Invention of the first practical photographic process, using coated plates of metal and glass&lt;/p&gt;","France","2007-02-01","2008-07-17","published","The first daguerrotype of the disk of the Sun was obtained by two physicists in Paris in 1845 seeand subsequent improvements in emulsion speeds had enormous repercussions for astronomy.",,"3"
"117","1843Lalanne","1843","1843","1843","1843","Contour map of 3D table","&lt;p&gt;Contour map of a 3D table, temperature x hour x month (published in 1845)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"118","1843aLalanne","1843","1843","1843","1843","Polar coordinates","&lt;p&gt;Use of polar coordinates in a graph(frequency of wind directions)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"119","1843Pritchard","1843","1843","1843","1843","Ethnographic maps","&lt;p&gt;Ethnographic maps showing distribution of ethnic groups throughout the world&lt;/p&gt;","UK","2008-07-17","2008-07-17","published",,,"1"
"120","1844Minard","1844","1844","1844","1844","Tableau-graphique","&lt;p&gt;&quot;Tableau-graphique&#039;&#039; showing transportation of commercial traffic by variable-width (distance), divided bars (height $sim$ amount), area $sim$ cost of transport [An early form of the mosaic plot.]&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"121","1846Lalanne","1846","1846","1846","1846","Logarithmic grid","&lt;p&gt;Logarithmic grid (the first log-log plot, as a nomogram for showing products from the factors)&lt;/p&gt;","France","2008-07-17","2008-07-17","published","See also: Lalanne&#039;s ambitious Universal Calculatorcombining logarithmic and trigonometric calculations (described by Tourn{&egrave;",,"1"
"122","1846Quetelet","1846","1846","1846","1846","Normal curve","&lt;p&gt;Results of sampling from urns shown as symmetrical histograms, with limiting &quot;curve of possibility&#039;&#039; (later called the normal curve)&lt;/p&gt;","Belgium","2008-07-17","2008-07-17","published",,,"1"
"123","1851Minard","1851","1851","1851","1851","Map with diagrams","&lt;p&gt;Map incorporating statistical diagrams: circles proportional to coal production (published in 1861)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"124","1852Unknown","1852","1852","1852","1852","Graphics in law","&lt;p&gt;Statistical graphics used in a lawsuit. (Reported by Ernst Engel at the 7th meetings of the International Statistical Congress, 1869, The Hague&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"125","1853ISI","1853","1853","1853","1853","1st international conference","&lt;p&gt;First international statistics conference (organized by Quetelet)&lt;/p&gt;","Belgium","2007-02-01","2008-07-17","published",,,"1"
"126","1855Snow","1855","1855","1855","1855","Dot map of disease","&lt;p&gt;Use of a dot map to display epidemiological data, leads to discovery of the source of a cholera epidemic&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"127","1857ISI","1857","1857","1857","1857","Standardization of graphs","&lt;p&gt;Discussion of standardization and classification of graphical methods at the Third International Statistical Congress&lt;/p&gt;","Vienna, Austria","2008-07-17","2008-07-17","published",,,"1"
"128","1857aISI","1857","1857","1857","1857","Exhibition","&lt;p&gt;Exhibition display of graphs and cartograms. Third International Statistical Congress&lt;/p&gt;","Vienna, Austria","2008-07-17","2008-07-17","published",,,"1"
"129","1857Nightingale","1857","1857","1857","1857","Coxcombs","&lt;p&gt;Polar area charts, known as &quot;coxcombs&#039;&#039; (used in a campaign to improve sanitary conditions of army)&lt;/p&gt;","England, UK","2008-07-17","2012-08-22","published","Florence Nightingale is often credited with the invention of this form of a polar area chart,
however it is likely that she got the idea from William Farr.  The earliest known use of this
graphic form is by Andre-Michel Guerry in 1829.
See the link above.",,"10"
"130","1861Galton","1861","1861","1861","1861","Modern weather map","&lt;p&gt;The modern weather map, a chart showing area of similar air pressure and barometric changes by means of glyphs displayed on a map. These led to the discovery of the anti-cyclonic movement of wind around low-pressure areas&lt;/p&gt;","UK","2007-02-01","2009-10-13","published",,,"7"
"131","1861Maxwell","1861","1861","1861","1861","Trichromatic process","&lt;p&gt;Invention of the trichromatic process for making color photographs, by taking three monochrome images through red, green and blue filters&lt;/p&gt;","England, UK","2007-02-01","2008-07-17","published",,,"1"
"132","1863Jevons","1863","1863","1863","1863","Semilogarithmic grid","&lt;p&gt;Semilogarithmic grid (showing percentage changes in commodities)&lt;/p&gt;","England, UK","2008-07-17","2009-10-16","published",,,"7"
"133","1868Levasseur","1868","1868","1868","1868","Diagrams in textbook","&lt;p&gt;Statistical diagrams used in a school textbook&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"134","1869Zeuner","1869","1869","1869","1869","Stereogram","&lt;p&gt;Three-dimensional population surface or &quot;stereogram,&#039;&#039; with axonometric projection to show curves of various &quot;slices&#039;&#039; (sometimes known as a &quot;Zeuner diagram)&#039;&#039;&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"135","1869Minard","1869","1869","1869","1869","Flow map","&lt;p&gt;Minard&#039;s flow map graphic of Napoleon&#039;s March on Moscow (called &quot;the best graphic ever produced)","France","2007-02-01","2008-07-17","published",,,"1"
"136","1869Mendeleev","1869","1869","1869","1869","Periodic table","&lt;p&gt;The periodic table used to classify chemical elements according to their properties, and allowing the prediction of new elements that would be discovered later.&lt;/p&gt;","Russia","2007-02-01","2008-07-17","published","Mendeleev arranged all of the 63 elements, then known by their atomic weights, into groups possessing similar properties. Where a gap existed in the table, he predicted a new element would one day be found and deduced its properties. Three of those elements were found during his lifetime",,"3"
"137","1870Montigny","1870","1870","1870","1870","Paris election map","&lt;p&gt;Election map of Paris, showing the breakdown of votes by parties&lt;/p&gt;","France","2007-02-01","2010-01-07","published",,,"7"
"138","1872USCongress","1872","1872","1872","1872","US Congress supports Graphics","&lt;p&gt;Congressional appropriation for graphical treatment of statistics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"139","1872USCensus","1872","1872","1872","1872","Graphics in census","&lt;p&gt;Use of statistical graphics by USA Government in census reports (cartograms of data from Ninth Census)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"140","1872Schwabe","1872","1872","1872","1872","Classification of graphics","&lt;p&gt;Classification of statistical graphical treatments by form, with consideration of appropriate uses of color, graphical elements, limitations of perception. At the 8th ISI meetings, St. Petersburg.&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"141","1872Muybridge","1872","1872","1872","1872","Recording of motion","&lt;p&gt;Recording of motion (of a running horse) by means of a set of glass-plate cameras, triggered by strings&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"142","1873Gibbs","1873","1873","1873","1873","Trilinear coordinates","&lt;p&gt;Graphical methods applied to explain fundamental relations in thermodynamics; this includes diagrams of entropy vs. temperature (where work or heat is proportional to area), and the first use of trilinear coordinates (graphs of (x,y,z) where x+y+z=constant)&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"143","1873Loua","1873","1873","1873","1873","Semi-graphic table","&lt;p&gt;First-known use of a semi-graphic table to display a data table by shading levels&lt;/p&gt;","France","2008-07-17","2009-04-13","published","Loua used this as a graphic summary of 40 maps of Paris, each showing some feature of the population by arrondisement.

This device was later used by Bertin who also considered ways of reordering the rows and columns (the &quot;reorderable matrix&#039;&#039;) to make the pattern of high/low values more apparent.",,"6"
"144","1874Walker","1874","1874","1874","1874","Age pyramid","&lt;p&gt;Age pyramid (bilateral histogram), bilateral frequency polygon, and the use of subdivided squares to show the division of population by two variables jointly (an early mosaic display) in the first true U.S. national statistical atlas&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"145","1874Vauthier","1874","1874","1874","1874","Statistical contour map","&lt;p&gt;Population contour map (population density shown by contours), the first statistical use of a contour map&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"146","1874Mayr","1874","1874","1874","1874","Two-variable color map","&lt;p&gt;Two-variable color map (showing the joint distribution of horses (red, vertical bars) and cattle (green, horizontal bars) in Bavaria, widths of bars $sim$ animals/km$^2$)&lt;/p&gt;","Germany","2007-02-01","2008-07-17","published",,,"1"
"147","1874Galton","1874","1874","1874","c. 1874","Semi-graphic scatterplot","&lt;p&gt;Galton&#039;s first semi-graphic scatterplot and correlation diagram, of head size and height, from his notebook on Special Peculiarities&lt;/p&gt;","England, UK","2008-06-03","2009-03-30","published",,,"6"
"148","1875Lexis","1875","1875","1875","1875","Lexis diagram","&lt;p&gt;Lexis diagram, showing relations among age, calendar time, and life spans of individuals simultaneously (but the paternity of this diagram is in dispute cite{Vandeschrick:2001})&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"149","1875Galton","1875","1875","1875","1875","Correlation","&lt;p&gt;Galton&#039;s first illustration of the idea of correlation, using sizes of the seeds of mother and daughter plants&lt;/p&gt;","England, UK","2007-02-01","2010-01-07","published","In 1875, Galton was interested in the inheritance of size in sweet-pea seeds, but appears to have tried with smaller seeds first, apparently that of cress.  The isograms are represented by ink lines on the sheet of glass covering the little compartments which contain the ranked seeds of the daughter-plants.",,"7"
"150","1877Mayr","1877","1877","1877","1877","Proportional square","&lt;p&gt;First use of proportional, divided square in the modern (mosaic) form for data representation&lt;/p&gt;","Germany","2008-07-17","2008-07-17","published",,,"1"
"151","1877aMayr","1877","1877","1877","1877","Star plot","&lt;p&gt;First use of polar diagrams and star plots for data representation&lt;/p&gt;","Germany","2007-02-01","2008-07-17","published",,,"1"
"152","1877Bowditch","1877","1877","1877","1877","Correlation","&lt;p&gt;Extensive statistical study of 24,500 children to improve school practice; early ideas of correlation and regression by quoting the &quot;measure of stoutness&#039;&#039;, the ratio of annual increase in pounds weight to annual increase in inches height. Includes six charts, showing curvilinear regresions.&lt;/p&gt;","Boston MA, USA","2007-02-01","2009-12-17","published","Separate series of graphs showing the regression of height (or weight) on age and weight on height",,"7"
"153","1878Marey","1878","1878","1878","1878","Description of graphic methods","&lt;p&gt;First attempt to survey, describe, and illustrate available graphic methods for experimental data&lt;/p&gt;","France","2008-07-17","2009-04-13","published",,,"6"
"154","1878Sylvester","1878","1878","1878","1878","&quot;Graph&#039;&#039;","&lt;p&gt;The term &quot;graph&#039;&#039; introduced, referring to diagrams showing analogies between the chemical bonds in molecules and graphical representations of mathematical invariants (also coined the term &quot;matrix&#039;&#039;)&lt;/p&gt;","UK","2008-07-17","2008-07-17","published",,,"1"
"155","1879Perozzo","1879","1879","1879","1879","Stereogram","&lt;p&gt;Stereogram (three-dimensional population pyramid) modeled on actual data (Swedish census, 1750--1875)&lt;/p&gt;","Italy","2008-07-17","2008-07-17","published",,,"1"
"156","1879Jevons","1879","1879","1879","1879","Graph paper","&lt;p&gt;Published instructions on how to use graph paper&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"157","1879Cheysson","1879","1879","1899","1899","Album de Statistique Graphique","&lt;p&gt;Album de Statistique Graphique, an annual series over 20 years, using all known graphic forms (map-based pies and stars, mosaic, line graphs, bar charts, and, of course, numerous flow maps) to depict data relevant to planning (railways, canals, ports, tramways, etc.) [This series, under the direction of &Eacute;mile Cheysson, is regarded as the epitome of the &quot;Golden Age of Statistical Graphics&#039;&#039;]&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"158","1880Venn","1880","1880","1880","1880","Venn diagram","&lt;p&gt;Representation of logical propositions and relations diagrammatically. [Actually, Liebnitz and, to some degree, Euler had used such diagrams previously.]&lt;/p&gt;","England, UK","2004-11-03","2008-07-17","published",,,"1"
"159","1882Marey","1882","1882","1882","1882","Motion","&lt;p&gt;Invention of precursor of motion-picture camera, recording a series of photographs to study fight of birds, running and walking&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"160","1882Bertillon","1882","1882","1882","1882","Statistical reasoning","&lt;p&gt;Statistical reasoning employed to create a new system of bodily measurement, specifically for identifying criminals&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"161","1883Unknown","1883","1883","1883","1883","Logarithmic paper","&lt;p&gt;Patent issued on logarithmic paper (reported to the British Association for the Advancement of Science, in 1898). Also called &quot;semi-log,&#039;&#039; &quot;arith-log&#039;&#039; paper and &quot;ratio charts&#039;&#039;&lt;/p&gt;","England, UK","2008-07-17","2009-03-30","published",,,"6"
"162","1885Lallemand","1883","1883","1885","1885","Multi-function nomograms","&lt;p&gt;Combination of many variables into multi-function nomograms, using 3D, juxtaposition of maps, parallel coordinate and hexagonal grids (L&#039;Abaque Triomphe)&lt;/p&gt;","France","2007-02-01","2008-07-17","published","Lallemand was director of the &quot;Service de nivellement de la France,&#039;&#039; designed to establish the heights of locations, water levels and tides throughout France, taking geodetic measurement to the third dimension. He also served as Inspector General of Mines.",,"3"
"163","1884Mulhall","1884","1884","1884","1884","Pictogram","&lt;p&gt;Pictogram, used to represent data by icons proportional to a number&lt;/p&gt;","England, UK","2008-07-17","2009-04-13","published",,,"6"
"164","1884Hollerith","1884","1884","1884","1884","Punched card tabulation","&lt;p&gt;Invention of the punched card for use in a machine to tabulate the USA Census (in 1890). Hollerith&#039;s company eventually became IBM&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"165","1884Ocagne","1884","1884","1884","1884","Alignment diagrams","&lt;p&gt;The first alignment diagrams, using sets of parallel axes, rather than axes at right angles; development of the essential ideas used in parallel coordinates plots. [Using the principle of duality from projective geometry, d&#039;Ocagne cite{Ocagne:1885} showed that a point on a graph with Cartesian coordinates transformed into a line on an alignment chart, that a line transformed into a point, and, finally, that a family of lines or a surface transformed into a single line cite{Hankins:1999}.]&lt;/p&gt;","France","2007-02-01","2008-07-17","published",,,"1"
"166","1884Abbott","1884","1884","1884","1884","Two-dimensional world","&lt;p&gt;A literary description of life in a two-dimensional world for people living in a 3D world. By analogy and extension, it suggests the possibile views of fourth and higher dimensions&lt;/p&gt;","England, UK","2004-10-03","2008-07-17","published",,,"1"
"167","1885Galton","1885","1885","1885","1885","Correlation","&lt;p&gt;Normal correlation surface and regression, the idea that in a bivariate normal distribution, contours of equal frequency formed concentric ellipses, with the regression line connecting points of vertical tangents&lt;/p&gt;","England, UK","2008-07-17","2009-04-13","published",,,"6"
"168","1885Levasseur","1885","1885","1885","1885","Review of graphics","&lt;p&gt;Comprehensive review of all available statistical graphics presented to the Statistical Society of London, classified as figures, maps, and solids (3D), perhaps the first mature attempt at a systematic classification of graphical forms&lt;/p&gt;","France","2002-01-05","2008-07-17","published",,,"1"
"169","1885Marey","1885","1885","1885","1885","Train schedule graphic","&lt;p&gt;Graphic representation of a train schedule showing rate of travel along the route from Paris to Lyon. (The method is attributed to the French engineer Ibry)&lt;/p&gt;","France","2007-02-01","2010-01-07","published",,,"7"
"170","1888Cheysson","1888","1888","1888","1888","1st anamorphic maps","&lt;p&gt;First anamorphic maps, using a deformation of spatial size to show a quantitative variable (e.g., the decrease in time to travel from Paris to various places in France over 200 years)&lt;/p&gt;","France","2007-02-01","2009-09-18","published",,,"7"
"171","1889Booth","1889","1889","1889","1889","Social mapping","&lt;p&gt;Street maps of London, showing poverty and wealth by color coding, transforming existing methods of social survey and poverty mapping towards the end of the nineteenth century&lt;/p&gt;","London, England, UK","2007-02-01","2008-07-17","published","Charles Booth&#039;s work is a classic in several fields of social science, including sociology, urban studies, public administration, policy research, social surveys, demography and geography",,"1"
"172","1892Geddes","1892","1892","1892","1892","Social data in museum","&lt;p&gt;Social data, diagrams, including regional survey, incorporated in museum&lt;/p&gt;","Outlook Tower, Edinburgh, Scotland","2008-07-17","2008-07-17","published",,,"1"
"173","1895Lumieres","1895","1895","1895","1895","1st movie","&lt;p&gt;First movie, with the cin&eacute;matographe, using the principle of intermittent movement of film (16 fps), but producing smooth projection (first public film screening on December 28, 1895 at the Cafe Grand)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"174","1896Bertillon","1896","1896","1896","1896","Area rectangles","&lt;p&gt;Use of area rectangles on a map to display two variables and their product (population of arrondisements in Paris, percent foreigners; area = absolute number of foreigners)&lt;/p&gt;","France","2008-07-17","2008-07-17","published",,,"1"
"175","1899Galton","1899","1899","1899","1899","Log-square paper","&lt;p&gt;Idea for &quot;log-square&#039;&#039; paper, ruled so that normal probability curve appears as a straight line&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"176","1901ISI","1901","1901","1901","1901","Graphical standards","&lt;p&gt;Attempt to formulate standards for graphical procedures at the International Statistical Congress; proposes that x,y scales be constructed so that the average behaviour corresponds to a curve of 45 degrees.&lt;/p&gt;","Budapest, Hungary","2007-02-01","2012-08-16","published","Some of the other recommendations also included cautious use of symbols and hieroglyphs, and sparing use of comparison by areas.",,"10"
"177","1904Maunder","1904","1904","1904","1904","Butterfly diagram: sunspots","&lt;p&gt;Use of the &quot;butterfly diagram&#039;&#039; to study the variation of sunspots over time, leading to the discovery that they were markedly reduced in frequency from 1645--1715 (the &quot;Maunder minimum&#039;&#039;). [Earlier work, started in 1843 by H. Schwabe, showed that sunspots exhibit an approximately twenty-two year cycle, with each eleven-year cycle of sunspots followed by a reversal of the direction of the sun&#039;s magnetic field]&lt;/p&gt;","England, UK","2008-07-17","2012-06-05","published",,,"10"
"178","1905Lorenz","1905","1905","1905","1905","Lorenz curve","&lt;p&gt;Lorenz curve (cumulative distribution by rank order, to facilitate study of concentrations, income distribution)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"179","1910Unknown","1910","1910","1910","c. 1910","Diagrams in textbook","&lt;p&gt;Statistical diagrams begin to appear regularly in USA textbooks (graphs of temperature, population in texts of arithmetic, algebra)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"180","1910Peddle","1910","1910","1910","1910","Diagrams in textbook","&lt;p&gt;Textbook in English devoted exclusively to statistical graphics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"181","1911Roesle","1911","1911","1911","1911","Exhibition of graphs","&lt;p&gt;First International Hygiene-Exhibition in Dresden, with 259 graphical-statistical figures of 35 national and international exhibitors and more than 5 million visitors. [Roesle also wrote publications which dealt with the structure of graphical-statistical displays cite{Roesle:1913}.]&lt;/p&gt;","Germany","2007-02-01","2008-07-17","published",,,"1"
"182","1911Hertzsprung","1911","1911","1913","1913","Hertzsprung-Russell diagram","&lt;p&gt;The Hertzsprung-Russell diagram, a log-log plot of luminosity as a function of temperature for stars, used to explain the changes as a star evolves. It provided an entirely new way to look at stars, and laid the groundwork for modern stellar physics and evolution, developed independently by&lt;/p&gt;","Denmark","2002-12-02","2008-07-17","published",,,"1"
"183","1913Hazen","1913","1913","1913","1913","Arithmetic probability paper","&lt;p&gt;Arithmetic probability paper, ruled so that normal ogive appears as straight line&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"184","1913City","1913","1913","1913","1913","Parade of graphics","&lt;p&gt;Parade of statistical graphics, May 17, 1913, including large graphs on horse-drawn floats, and a photograph with people arranged in a bell-shaped curve&lt;/p&gt;","New York, USA","2008-07-17","2008-07-17","published","According to Brintonthe graph that most impressed people was one showing the decline in death rate due to improvements in sanitation and nursing.",,"1"
"185","1913Moseley","1913","1913","1913","1913","Atomic number","&lt;p&gt;Discovery of the concept of atomic number, based largely on graphical analysis (a plot of serial numbers of the elements vs. square root of frequencies from X-ray spectra) The linear relations showed that the periodic table was explained by atomic number rather than, as had been supposed, atomic weight, and predicted the existence of several yet-undiscovered elements&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"186","1913Costelloe","1913","1913","1914","1914","Graphics college course","&lt;p&gt;College course in statistical graphic methods, &quot;The Graphic Method&#039;&#039; (possibly the first)&lt;/p&gt;","Iowa State College, USA","2008-07-17","2008-07-17","published",,,"1"
"187","1914Engineers","1914","1914","1914","1914","Standards for presentation","&lt;p&gt;Published standards for graphical presentation (by representatives from several scientific societies)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"188","1914Brinton","1914","1914","1914","1914","Pictogram","&lt;p&gt;Pictograms to represent a series of numbers by icons (combining concepts of the bar graph and pictogram of varying size)&lt;/p&gt;","USA","2008-07-17","2009-12-11","published",,,"7"
"189","1915Association","1915","1915","1915","1915","Committee on graphics","&lt;p&gt;Creation of a standing committee on graphics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"190","1915Fisher","1915","1915","1925","1925","Statistical theory","&lt;p&gt;Beginnings of the development of modern statistical theory (sampling distributions (1915), randomization, likelihood (1921), small sample theory, exact distributions, analysis of variance (1925), etc.)&lt;/p&gt;","UK","2007-02-01","2008-07-17","published",,,"1"
"191","1916Warne","1916","1916","1916","1916","Course on graphic methods","&lt;p&gt;Correspondence course in graphical methods (20 lessons for $50, supplemented by a book of 100 specimen illustrations of bar, curve, and circle diagrams; entended title includes &quot;There&#039;s an idea in every chart&#039;&#039;)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"192","1917Gantt","1917","1917","1917","1917","Gantt chart","&lt;p&gt;Gantt chart, designed to show scheduled and actual progress of projects&lt;/p&gt;","Maryland, USA","2007-02-01","2012-06-14","published","As a mechanical engineer and management consultant, Gantt also designed the &#039;task and bonus&#039; system of wage payment and developed methods of measuring worker efficiency and productivity.",,"10"
"193","1918Cubberly","1918","1918","1933","1933","Course in methods","&lt;p&gt;Annual college course in statistical graphical methods&lt;/p&gt;","Stanford University, USA","2008-07-17","2008-07-17","published",,,"1"
"194","1919Ayres","1919","1919","1919","1919","Statistical chartbook","&lt;p&gt;Social statistical chartbook, containing a variety of graphic and semi-graphic displays in a USA Government report. [The image below is a fine early example of a semi-graphic display, showing four variables simultaneously.]&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"195","1920Wright","1920","1920","1920","1920","Path diagram","&lt;p&gt;Invention of the path diagram to show relations among a network of endogenous and exogenous variables forming a system of structural equations&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
