"aid","prefix","givennames","lname","suffix","lived","birthdate","birthplace","birthlat","birthlong","deathdate","deathplace","deathlat","deathlong","note"
"264",,"Walter A.","Shewhart",,"1891-1967","1891-03-18","New Canton Illinois, USA","39.6361576","-91.0959713","1967-03-11","Troy Hills, New Jersey, USA","40.8528773","-74.3920964",
"265",,"Ben","Shneiderman",,"1947-","1947-08-21","New York, NY, USA","40.7143528","-74.0059731",,,,,
"266",,"J. H.","Siegel",,,,,,,,,,,
"267",,"William","Smith",,"1769-1839","1769-03-23","Churchill, Oxfordshire, England","51.916419","-1.591156","1839-08-28","Northampton, England","52.240477","-0.902656",
"268",,"Willebrord van Roijen","Snell",,"1580-1626","1580-06-13","Leiden, Netherlands","52.1603216","4.4939262","1626-10-30","Leiden, Netherlands","52.1603216","4.4939262",
"269",,"John","Snow",,"1813-1858","1813-03-16","Yorkshire, England","54.2503595","-1.4708553","1858-06-16","London, England","51.5073346","-0.1276831",
"270",,"John","Southern",,,,,,,,,,,
"271",,"Deborah","Swayne",,"1940-2006","1940",,,,"2006",,,,
"272",,"James Joseph","Sylvester",,"1814-1897","1814-09-03","London, England","51.5073346","-0.1276831","1897-03-15","London, England","51.5073346","-0.1276831",
"273",,"Jean","Talon",,"1626-1694","1626-01-08 ","Chalons-en-Champagne, France","48.956682","4.363073","1694-11-23","Chalons-en-Champagne, France","48.956682","4.363073",
"274",,"Niccolo Fontana","Tartaglia",,"1499-1557","1499","Brescia, Italy","45.5411875","10.2194437","1557-12-13","Venice, Italy","45.4408474","12.3155151",
"275",,"Louis Leon","Thurstone",,"1887-1955","1887-05-29","Chicago, Illnois, USA","41.8781136","-87.6297982","1955-09-30","Chapel Hill, NC, USA","35.9131","-79.0561",
"276",,"Luke","Tierney",,"1954-","1954-10-26","New York City, NY, USA","40.7143528","-74.0059731",,,,,
"277",,"Edward","Tufte",,"1942-","1942","Kansas City, USA","39.0997265","-94.5785667",,,,,
"279",,"John W.","Tukey",,"1915-2000","1915-06-16","New Bedford, Massachusetts, USA","41.6362152","-70.934205","2000-07-26","New Brunswick, New Jersey, USA","40.4862157","-74.4518188",
"284",,"Paul A.","Tukey",,,,,,,,,,,"Distantly related to L. Tukey"
"286",,,"U.S. Bureau of the Census",,"1903-","1903-07-01","USA","37.09024","-95.712891",,,,,"Formed in 1903"
"289",,"Antony","Unwin",,,,,,,,,,,
"291",,"Louis-L&eacute;ger","Vauthier",,"1815-1881","1815-04-06","Bergerac, France","44.853806","0.483392","1881",,,,
"292",,"John","Venn",,"1834-1923","1834-08-04","Hull, England","53.7456709","-0.3367413","1923-04-04","Cambridge, England","52.205337","0.121817",
"293",,"Leonardo da","Vinci",,"1452-1519","1452-04-15","Vinci, Italy","43.7178919","10.9477782","1519-05-02","Cloux, Amboise, France","47.410412","0.9919638",
"294",,"Heinz","Von Foerster",,"1911-2002","1911-11-13","Vienna, Italy","43.777227","7.348692","2002-10-02","Pescadero, California, USA","37.2551636","-122.3830152",
"295",,"Howard","Wainer",,"1943-","1943-10-26","New York, NY, USA","40.7143528","-74.0059731",,,,,
"297",,"Francis Amasa","Walker",,"1840-1897","1840-07-02","Boston, MA, USA","42.3584308","-71.0597732","1897-01-05","Boston, MA, USA","42.3584308","-71.0597732",
"298",,"Frank Julian","Warne",,"1874-1948","1874-03-18",,,,"1948","USA","37.09024","-95.712891",
"299",,"J. N.","Washburne",,,,,,,,,,,
"300",,"James","Watt",,"1736-1819","1736-01-19","Greenock, Scotland","55.956476","-4.771983","1819-08-19","Handsworth, England","52.5094179","-1.938412",
"301",,"Edward","Wegman",,"1943-","1943-07-04","Terra Haute, Indiana, USA","39.4667034","-87.4139092",,,,,
"302",,"Charles","Wheatstone",,"1802-1875","1802-02-06","Gloucester, England","51.8642449","-2.238156","1875-10-19","Paris, France","48.856614","2.3522219",
"303",,"B. W.","White",,,,,,,,,,,
"304",,"Leland","Wilkinson",,"1944-","1944",,,,,,,,
"305",,"Graham","Wills",,,,,,,,,,,
"307",,"Jan de","Witt",,"1625-1672","1625-09-24","Dordrecht, Netherlands","51.797387","4.6734789","1672-08-20","The Hague, Netherlands","52.0704978","4.3006999",
"308",,"Christopher","Wren",,"1632-1723","1632-10-20","East Knoyle, Wiltshire, England","51.072333","-2.172212","1723-02-25","London, England","51.5073346","-0.1276831",
"309",,"Sewall","Wright",,"1889-1988","1889-12-21","Melrose, MA, USA","42.4584292","-71.0661633","1988-03-03","Madison, Wisconsin, USA","43.0730517","-89.4012302",
"310",,"Forrest","Young",,"1940-2006","1940-04-10","Los Angeles, CA, USA","34.0522","-118.2428","2006","Chapel Hill, NC, USA","35.9131","-79.0561",
"311",,"Gustav","Zeuner",,"1828-1907","1828-11-30","Chemnitz, Germany","50.827845","12.9213697","1907-10-17","Dresden, Germany","51.0504088","13.7372621",
"312",,"Vladimir Kosma","Zworykin",,"1889-1982","1889-07-20","Murom, Russia","55.5666667","42.0333333","1982-07-29","Princeton, NJ, USA","40.3572976","-74.6672226",
"313",,"Abraham","de Moivre",,"1667-1754","1667-05-26","Vitry le Francois, Champagne, France","48.7213287","4.5816533","1754-11-27","London, England","51.5073346","-0.1276831",
"314",,"Pierre-Fran&ccedil;ois","Verhulst",,"1804-1849","1804-10-28","Brussels, Belgium","50.8503396","4.3517103","1849-02-15","Brussels, Belgium","50.8503396","4.3517103",
"317",,"Emmanuel de","Martonne",,"1873-1955","1873-04-01","Chabris, France","47.25447","1.654295","1955-07-24","Sceaux, France","48.778016","2.295092",
"318",,"John","Adams",,"1650-1738","1650","Shropshire, England","52.5864845","-2.7037501","1738",,,,"Birth year is approximate"
"319",,"Arthur L.","Bowley",,"1869-1957","1869-11-06","Bristol, England","51.454513","-2.58791","1957-01-21","Surrey, England","51.2622513","-0.4672517",
"320",,"Tony","Freeth",,"1947-","1947",,,,,,,,
"321",,"Herman","Helmholtz",,"1821-1894","1821-08-31","Potsdam, Germany","52.3941887","13.072691","1894-09-08","Charlottenburg, Germany","52.5167","13.3",
"322",,"Hans","Rosling",,"1948-","1948-07-27","Uppsala, Sweden","59.8585638","17.6389267",,,,,
"323",,"Mark D.","Apperley",,,,,,,,,,,
"324",,"Robert","Spence",,"1933-","1933-07-11","Birthplace Hull, Yorkshire, England","52.3555177","-1.1743197",,,,,
"325",,"I.","Tzavaras",,,,,,,,,,,
"326",,"Stephen M.","Stigler",,,,,,,,,,,
"327",,"Jim","Flanagan",,,,,,,,,,,
"329",,"Martin. I.","Krzywinski",,"1971","1971-02-17","Warsaw, Poland","52.2296756","21.0122287",,,,,
"330",,"Pierre-Simon, Marquis de","Laplace",,"1749-1827","1749-03-23","Beaumont-en-Auge, Normandy, France","49.278363","0.111144","1827-02-05","Paris, France","48.856614","2.3522219",
"331",,"Adrien Marie","Legendre",,"1752-1833","1752-09-18","Paris, France","48.856614","2.3522219","1833-01-10","Paris, France","48.856614","2.3522219",
"332",,"Thomas","Simpson",,"1710-1761","1710-08-20","Market Bosworth, Leicestershire, England","52.623465","-1.40784","1761-05-14","Market Bosworth, Leicestershire, England","52.623465","-1.40784",
"333",,"Francis Ysidro","Edgeworth",,"1845-1926","1845-02-08","Edgeworthstown, County Longford, Ireland","53.6956862","-7.608493","1926-02-14","Oxford, Oxfordshire, England","51.751724","-1.255285",
"334",,"Gustav Theodor","Fechner",,"1801-1887","1801-04-19","Gro&szlig; S&auml;rchen, Germany","51.369643","14.31247","1887-11-18","Leipzig, Germany","51.3396955","12.3730747",
"335",,"Karl","Pearson",,"1857-1936","1857-03-27","London, England","51.5073346","-0.1276831","1936-04-27","Coldharbour, Surrey, England","51.181289","-0.357745",
"336",,"Charles Xavier Thomas","de Colmar",,"1785-1870","1785-05-05","Colmar, France","48.0793589","7.358512","1870-03-12","Paris, France","48.856614","2.3522219",
"338","Lt. ",,"Serjev",,"1800s",,,,,,,,,
"339",,"Mordecai J. B.","Ezekial",,"1899-1974","1899-05-10","Richmond, Virginia, USA","37.5407246","-77.4360481","1974-10-31","Washington, D.C, USA","38.8951118","-77.0363658",
